2023-07-04 10:43:05,253 INFO    MainThread:38048 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2023-07-04 10:43:05,254 INFO    MainThread:38048 [wandb_setup.py:_flush():76] Configure stats pid to 38048
2023-07-04 10:43:05,254 INFO    MainThread:38048 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2023-07-04 10:43:05,254 INFO    MainThread:38048 [wandb_setup.py:_flush():76] Loading settings from /root/DNNM/mach5 baseline/wandb/settings
2023-07-04 10:43:05,254 INFO    MainThread:38048 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-07-04 10:43:05,254 INFO    MainThread:38048 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-07-04 10:43:05,254 INFO    MainThread:38048 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'mach5 baseline/run.py', 'program': '/root/DNNM/mach5 baseline/run.py'}
2023-07-04 10:43:05,254 INFO    MainThread:38048 [wandb_init.py:_log_setup():507] Logging user logs to /root/DNNM/mach5 baseline/wandb/run-20230704_104305-8rnbj2ns/logs/debug.log
2023-07-04 10:43:05,254 INFO    MainThread:38048 [wandb_init.py:_log_setup():508] Logging internal logs to /root/DNNM/mach5 baseline/wandb/run-20230704_104305-8rnbj2ns/logs/debug-internal.log
2023-07-04 10:43:05,254 INFO    MainThread:38048 [wandb_init.py:init():547] calling init triggers
2023-07-04 10:43:05,254 INFO    MainThread:38048 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-07-04 10:43:05,254 INFO    MainThread:38048 [wandb_init.py:init():596] starting backend
2023-07-04 10:43:05,254 INFO    MainThread:38048 [wandb_init.py:init():600] setting up manager
2023-07-04 10:43:05,256 INFO    MainThread:38048 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-07-04 10:43:05,257 INFO    MainThread:38048 [wandb_init.py:init():606] backend started and connected
2023-07-04 10:43:05,258 INFO    MainThread:38048 [wandb_init.py:init():703] updated telemetry
2023-07-04 10:43:05,262 INFO    MainThread:38048 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2023-07-04 10:43:05,673 INFO    MainThread:38048 [wandb_run.py:_on_init():2176] communicating current version
2023-07-04 10:43:05,774 INFO    MainThread:38048 [wandb_run.py:_on_init():2185] got version response 
2023-07-04 10:43:05,774 INFO    MainThread:38048 [wandb_init.py:init():787] starting run threads in backend
2023-07-04 10:43:05,812 INFO    MainThread:38048 [wandb_run.py:_console_start():2155] atexit reg
2023-07-04 10:43:05,812 INFO    MainThread:38048 [wandb_run.py:_redirect():2010] redirect: SettingsConsole.WRAP_RAW
2023-07-04 10:43:05,812 INFO    MainThread:38048 [wandb_run.py:_redirect():2075] Wrapping output streams.
2023-07-04 10:43:05,812 INFO    MainThread:38048 [wandb_run.py:_redirect():2100] Redirects installed.
2023-07-04 10:43:05,813 INFO    MainThread:38048 [wandb_init.py:init():828] run started, returning control to user process
2023-07-04 10:43:08,600 INFO    MainThread:38048 [wandb_watch.py:watch():51] Watching
2023-07-04 10:58:48,509 WARNING MsgRouterThr:38048 [router.py:message_loop():77] message_loop has been closed
